nodes/id,nodes/class_name
bathroom,11
wall,12
wall,13
wall,14
wall,15
ceiling,16
ceiling,17
ceiling,18
ceiling,19
floor,20
floor,21
floor,22
floor,23
toilet,24
stall,25
bathroomcabinet,26
bathroomcounter,27
sink,28
faucet,29
stall,30
curtains,31
toothbrush,32
waterglass,33
barsoap,34
deodorant,35
facecream,36
hairproduct,37
hairproduct,38
toothpaste,39
toiletpaper,40
towel,41
rug,42
wallpictureframe,43
walllamp,44
ceilinglamp,45
walllamp,46
doorjamb,47
door,48
lightswitch,49
washingmachine,50
kitchen,51
floor,52
floor,53
floor,54
floor,55
floor,56
floor,57
floor,58
floor,59
floor,60
ceiling,61
ceiling,62
ceiling,63
ceiling,64
ceiling,65
ceiling,66
ceiling,67
ceiling,68
ceiling,69
door,70
door,71
wall,72
wall,73
wall,74
wall,75
wall,76
wall,77
wall,78
wall,79
wallphone,80
powersocket,81
lightswitch,82
waterglass,83
cutleryfork,84
cutleryknife,85
cutleryknife,86
cutleryknife,87
knifeblock,88
fryingpan,89
cookingpot,90
book,91
book,92
dishbowl,93
dishbowl,94
dishbowl,95
dishbowl,96
dishbowl,97
plate,98
plate,99
plate,100
plate,101
dishwashingliquid,102
condimentshaker,103
condimentshaker,104
plate,105
plate,106
clothespile,107
clothespile,108
clothespile,109
clothespile,110
plate,111
garbagecan,112
cellphone,113
towel,114
washingsponge,115
wallpictureframe,116
rug,117
pillow,118
pillow,119
pillow,120
pillow,121
pillow,122
pillow,123
candle,124
wallpictureframe,125
wallpictureframe,126
candle,127
bench,128
kitchentable,129
bench,130
tvstand,131
kitchencabinet,132
kitchencabinet,133
kitchencabinet,134
kitchencabinet,135
kitchencabinet,136
kitchencabinet,137
kitchencabinet,138
kitchencabinet,139
kitchencounter,140
kitchencounterdrawer,141
kitchencounterdrawer,142
kitchencounterdrawer,143
kitchencounterdrawer,144
kitchencounterdrawer,145
kitchencounterdrawer,146
kitchencounterdrawer,147
kitchencounterdrawer,148
sink,149
faucet,150
kitchencounter,151
kitchencounter,152
bookshelf,153
stovefan,154
fridge,155
stove,156
oventray,157
dishwasher,158
coffeemaker,159
coffeepot,160
toaster,161
breadslice,162
breadslice,163
microwave,164
plate,165
ceilinglamp,166
ceilinglamp,167
walllamp,168
walllamp,169
walllamp,170
chicken,171
cutlets,172
apple,173
apple,174
apple,175
apple,176
apple,177
apple,178
apple,179
apple,180
apple,181
apple,182
apple,183
dishbowl,184
creamybuns,185
creamybuns,186
chips,187
chips,188
chocolatesyrup,189
poundcake,190
cereal,191
milk,192
salmon,193
salad,194
cupcake,195
crackers,196
bedroom,197
floor,198
floor,199
floor,200
floor,201
floor,202
floor,203
floor,204
floor,205
floor,206
wall,207
wall,208
wall,209
wall,210
wall,211
wall,212
wall,213
wall,214
ceiling,215
ceiling,216
ceiling,217
ceiling,218
ceiling,219
ceiling,220
ceiling,221
ceiling,222
ceiling,223
doorjamb,224
window,225
nightstand,226
desk,227
chair,228
nightstand,229
bookshelf,230
bed,231
sofa,232
cabinet,233
wallpictureframe,234
wallpictureframe,235
rug,236
curtains,237
curtains,238
curtains,239
pillow,240
pillow,241
computer,242
cpuscreen,243
keyboard,244
lightswitch,245
mouse,246
mousemat,247
radio,248
facecream,249
mug,250
waterglass,251
book,252
photoframe,253
box,254
book,255
book,256
apple,257
apple,258
bananas,259
lime,260
peach,261
peach,262
plum,263
plum,264
dishbowl,265
paper,266
papertray,267
cellphone,268
folder,269
towel,270
ceilinglamp,271
tablelamp,272
tablelamp,273
livingroom,274
wall,275
wall,276
wall,277
wall,278
wall,279
wall,280
wall,281
wall,282
ceiling,283
ceiling,284
ceiling,285
ceiling,286
ceiling,287
ceiling,288
ceiling,289
ceiling,290
ceiling,291
floor,292
floor,293
floor,294
floor,295
floor,296
floor,297
floor,298
floor,299
floor,300
sofa,301
coffeetable,302
chair,303
desk,304
tvstand,305
closet,306
bookshelf,307
computer,308
cpuscreen,309
keyboard,310
mousemat,311
mouse,312
tv,313
powersocket,314
lightswitch,315
rug,316
wallpictureframe,317
orchid,318
pillow,319
pillow,320
wallpictureframe,321
curtains,322
curtains,323
curtains,324
hanger,325
hanger,326
hanger,327
clothesshirt,328
clothesshirt,329
clothespants,330
towel,331
book,332
cellphone,333
folder,334
folder,335
remotecontrol,336
plate,337
ceilinglamp,338
walllamp,339
walllamp,340
walllamp,341
walllamp,342
doorjamb,343
doorjamb,344
window,345
cupcake,346
breadslice,347
