nodes/id,nodes/class_name
bathroom,11
wall,12
wall,13
wall,14
wall,15
ceiling,16
ceiling,17
ceiling,18
ceiling,19
floor,20
floor,21
floor,22
floor,23
toilet,24
bathroomcabinet,25
bathroomcounter,26
sink,27
faucet,28
stall,29
curtains,30
towelrack,31
toothbrush,32
waterglass,33
barsoap,34
deodorant,35
facecream,36
hairproduct,37
hairproduct,38
toothpaste,39
toiletpaper,40
towel,41
towel,42
towel,43
photoframe,44
hairproduct,45
hairproduct,46
rug,47
wallpictureframe,48
ceilinglamp,49
walllamp,50
walllamp,51
doorjamb,52
door,53
lightswitch,54
washingmachine,55
kitchen,56
floor,57
floor,58
floor,59
floor,60
floor,61
floor,62
floor,63
floor,64
floor,65
ceiling,66
ceiling,67
ceiling,68
ceiling,69
ceiling,70
ceiling,71
ceiling,72
ceiling,73
ceiling,74
wall,75
wall,76
wall,77
wall,78
wall,79
wall,80
wall,81
wall,82
wallphone,83
powersocket,84
lightswitch,85
ceilingfan,86
cutleryknife,87
cutleryknife,88
knifeblock,89
fryingpan,90
cookingpot,91
book,92
book,93
dishbowl,94
dishbowl,95
dishbowl,96
dishbowl,97
dishbowl,98
plate,99
plate,100
plate,101
plate,102
dishwashingliquid,103
condimentshaker,104
condimentshaker,105
plate,106
plate,107
clothespile,108
clothespile,109
clothespile,110
clothespile,111
garbagecan,112
paper,113
washingsponge,114
folder,115
folder,116
folder,117
folder,118
crayons,119
notes,120
towel,121
waterglass,122
cutleryfork,123
cutleryknife,124
wallpictureframe,125
pillow,126
pillow,127
candle,128
wallpictureframe,129
wallpictureframe,130
candle,131
bench,132
kitchentable,133
bench,134
tvstand,135
kitchencabinet,136
kitchencabinet,137
kitchencabinet,138
kitchencabinet,139
kitchencabinet,140
kitchencabinet,141
kitchencabinet,142
kitchencabinet,143
kitchencounter,144
kitchencounterdrawer,145
kitchencounterdrawer,146
kitchencounterdrawer,147
kitchencounterdrawer,148
kitchencounterdrawer,149
kitchencounterdrawer,150
kitchencounterdrawer,151
sink,152
faucet,153
kitchencounter,154
bookshelf,155
chair,156
chair,157
bookshelf,158
stovefan,159
stove,160
oventray,161
dishwasher,162
coffeemaker,163
coffeepot,164
toaster,165
breadslice,166
breadslice,167
fridge,168
fridge,169
microwave,170
plate,171
ceilinglamp,172
ceilinglamp,173
walllamp,174
walllamp,175
cupcake,176
crackers,177
salmon,178
chicken,179
cutlets,180
plate,181
poundcake,182
apple,183
apple,184
apple,185
apple,186
apple,187
apple,188
apple,189
apple,190
apple,191
apple,192
apple,193
dishbowl,194
creamybuns,195
creamybuns,196
chips,197
chips,198
chocolatesyrup,199
bottlewater,200
milk,201
cereal,202
alcohol,203
salad,204
livingroom,205
floor,206
floor,207
floor,208
floor,209
floor,210
floor,211
floor,212
floor,213
floor,214
door,215
doorjamb,216
ceiling,217
ceiling,218
ceiling,219
ceiling,220
ceiling,221
ceiling,222
ceiling,223
ceiling,224
ceiling,225
ceilinglamp,226
ceilinglamp,227
tablelamp,228
wall,229
wall,230
wall,231
wall,232
wall,233
wall,234
wall,235
wall,236
wallpictureframe,237
wallpictureframe,238
curtains,239
curtains,240
curtains,241
tvstand,242
closet,243
hanger,244
clothesshirt,245
hanger,246
clothespants,247
hanger,248
clothesshirt,249
nightstand,250
desk,251
chair,252
bookshelf,253
sofa,254
breadslice,255
cupcake,256
alcohol,257
apple,258
apple,259
bananas,260
lime,261
peach,262
peach,263
plum,264
plum,265
dishbowl,266
towel,267
pillow,268
waterglass,269
facecream,270
mug,271
book,272
book,273
book,274
photoframe,275
box,276
book,277
book,278
cellphone,279
crackers,280
garbagecan,281
cellphone,282
plate,283
window,284
window,285
computer,286
cpuscreen,287
keyboard,288
lightswitch,289
mouse,290
mousemat,291
tv,292
ceilingfan,293
bedroom,294
doorjamb,295
door,296
doorjamb,297
wall,298
wall,299
wall,300
wall,301
wall,302
wall,303
ceiling,304
ceiling,305
ceiling,306
ceiling,307
ceiling,308
ceiling,309
floor,310
floor,311
floor,312
floor,313
floor,314
floor,315
bookshelf,316
chair,317
closet,318
hanger,319
clothesshirt,320
hanger,321
clothesshirt,322
hanger,323
clothespants,324
desk,325
desk,326
cabinet,327
bed,328
sundae,329
cupcake,330
cupcake,331
juice,332
candybar,333
wine,334
computer,335
cpuscreen,336
cpuscreen,337
cpuscreen,338
keyboard,339
mousemat,340
mouse,341
powersocket,342
lightswitch,343
powersocket,344
speaker,345
amplifier,346
speaker,347
radio,348
rug,349
wallpictureframe,350
orchid,351
pillow,352
wallpictureframe,353
wallpictureframe,354
curtains,355
curtains,356
curtains,357
guitar,358
garbagecan,359
perfume,360
slippers,361
slippers,362
slippers,363
slippers,364
wineglass,365
boardgame,366
wineglass,367
wineglass,368
magazine,369
toy,370
towel,371
ceilinglamp,372
ceilinglamp,373
ceilinglamp,374
window,375
