nodes/id,nodes/class_name
kitchen,11
floor,12
floor,13
floor,14
floor,15
floor,16
floor,17
floor,18
floor,19
floor,20
ceiling,21
ceiling,22
ceiling,23
ceiling,24
ceiling,25
ceiling,26
ceiling,27
ceiling,28
ceiling,29
wall,30
wall,31
wall,32
wall,33
wall,34
wall,35
wall,36
wall,37
wall,38
wall,39
door,40
doorjamb,41
window,42
ceilinglamp,43
ceilinglamp,44
walllamp,45
milk,46
apple,47
apple,48
bananas,49
lime,50
peach,51
peach,52
plum,53
plum,54
dishbowl,55
creamybuns,56
chocolatesyrup,57
cereal,58
candybar,59
cutlets,60
chips,61
pancake,62
crackers,63
pear,64
peach,65
crackers,66
chips,67
cupcake,68
chicken,69
salmon,70
salad,71
chair,72
chair,73
chair,74
chair,75
kitchentable,76
kitchencabinet,77
kitchencabinet,78
kitchencabinet,79
kitchencabinet,80
kitchencabinet,81
kitchencabinet,82
kitchencabinet,83
kitchencabinet,84
kitchencounter,85
kitchencounterdrawer,86
kitchencounterdrawer,87
kitchencounterdrawer,88
kitchencounterdrawer,89
kitchencounterdrawer,90
kitchencounterdrawer,91
kitchencounterdrawer,92
kitchencounterdrawer,93
sink,94
faucet,95
kitchencounter,96
kitchencounter,97
sofa,98
nightstand,99
nightstand,100
wallshelf,101
wallshelf,102
toaster,103
breadslice,104
breadslice,105
stovefan,106
fridge,107
dishwasher,108
stove,109
oventray,110
coffeemaker,111
coffeepot,112
microwave,113
plate,114
washingsponge,115
dishwashingliquid,116
cutleryknife,117
cutleryknife,118
knifeblock,119
condimentshaker,120
condimentshaker,121
mug,122
mug,123
cookingpot,124
cookingpot,125
fryingpan,126
waterglass,127
dishbowl,128
plate,129
plate,130
plate,131
plate,132
dishbowl,133
condimentbottle,134
condimentbottle,135
cutleryknife,136
cutleryfork,137
cutleryfork,138
cutleryknife,139
cutleryknife,140
cutleryfork,141
cutleryknife,142
cutleryfork,143
waterglass,144
waterglass,145
waterglass,146
plate,147
book,148
book,149
box,150
condimentshaker,151
condimentshaker,152
condimentbottle,153
condimentbottle,154
dishbowl,155
dishbowl,156
dishbowl,157
dishbowl,158
mug,159
photoframe,160
cellphone,161
garbagecan,162
rug,163
orchid,164
candle,165
wallpictureframe,166
wallpictureframe,167
wallpictureframe,168
wallpictureframe,169
wallpictureframe,170
curtains,171
curtains,172
curtains,173
lightswitch,174
powersocket,175
wallphone,176
bathroom,177
wall,178
wall,179
wall,180
wall,181
ceiling,182
ceiling,183
ceiling,184
ceiling,185
floor,186
floor,187
floor,188
floor,189
walllamp,190
ceilinglamp,191
walllamp,192
toilet,193
stall,194
bathroomcabinet,195
stall,196
curtains,197
bathroomcounter,198
sink,199
faucet,200
garbagecan,201
toothbrush,202
waterglass,203
barsoap,204
deodorant,205
facecream,206
hairproduct,207
hairproduct,208
toothpaste,209
toiletpaper,210
towel,211
rug,212
wallpictureframe,213
lightswitch,214
washingmachine,215
bedroom,216
bookshelf,217
chair,218
desk,219
nightstand,220
bed,221
cabinet,222
lightswitch,223
powersocket,224
radio,225
book,226
book,227
dishbowl,228
book,229
book,230
photoframe,231
box,232
facecream,233
deodorant,234
perfume,235
apple,236
apple,237
apple,238
apple,239
apple,240
apple,241
apple,242
apple,243
apple,244
apple,245
apple,246
dishbowl,247
box,248
painkillers,249
cupcake,250
plate,251
book,252
notes,253
cellphone,254
towel,255
doorjamb,256
door,257
rug,258
pillow,259
pillow,260
ceilinglamp,261
floor,262
floor,263
floor,264
floor,265
ceiling,266
ceiling,267
ceiling,268
ceiling,269
wall,270
wall,271
wall,272
wall,273
livingroom,274
coffeetable,275
bookshelf,276
desk,277
tvstand,278
bookshelf,279
chair,280
nightstand,281
sofa,282
sofa,283
closet,284
hanger,285
hanger,286
hanger,287
hanger,288
hanger,289
hanger,290
hanger,291
closetdrawer,292
closetdrawer,293
closetdrawer,294
closetdrawer,295
closetdrawer,296
closetdrawer,297
closetdrawer,298
computer,299
cpuscreen,300
keyboard,301
mousemat,302
mouse,303
tv,304
powersocket,305
lightswitch,306
rug,307
wallpictureframe,308
orchid,309
wallpictureframe,310
curtains,311
curtains,312
curtains,313
pillow,314
pillow,315
pillow,316
pillow,317
clothespile,318
clothespile,319
perfume,320
photoframe,321
facecream,322
deodorant,323
hairproduct,324
hairproduct,325
box,326
box,327
wineglass,328
wineglass,329
cupcake,330
milkshake,331
plate,332
towel,333
folder,334
folder,335
folder,336
folder,337
plate,338
ceilinglamp,339
walllamp,340
walllamp,341
walllamp,342
walllamp,343
walllamp,344
walllamp,345
tablelamp,346
wall,347
wall,348
wall,349
wall,350
wall,351
wall,352
wall,353
wall,354
ceiling,355
ceiling,356
ceiling,357
ceiling,358
ceiling,359
ceiling,360
ceiling,361
ceiling,362
ceiling,363
floor,364
floor,365
floor,366
floor,367
floor,368
floor,369
floor,370
floor,371
floor,372
doorjamb,373
doorjamb,374
door,375
window,376
breadslice,377
